slug,title,issue,link_text,href,normalized_href,link_type
10-best-surf-spots-in-bali,10 Best Surf Spots in Bali,MISSING_IN_SANITY,Bali’s wet season,https://rapturecamps.com/surf-bali-rainy-season,/surf-bali-rainy-season,internal
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,MISSING_IN_SANITY,Luis Ascenso,https://www.flickr.com/photos/107521854@N05/,https://www.flickr.com/photos/107521854@n05,external
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,MISSING_IN_SANITY,BirdsEyePix,https://www.flickr.com/photos/38534720@N00/,https://www.flickr.com/photos/38534720@n00,external
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,MISSING_IN_SANITY,UltraView,https://www.flickr.com/photos/69658016@N03/,https://www.flickr.com/photos/69658016@n03,external
10-biggest-waves-ever-surfed,History Makers: 10 Biggest Waves Ever Surfed,MISSING_IN_SANITY,Chris Hoare,https://www.flickr.com/photos/u07ch/,https://www.flickr.com/photos/u07ch,external
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,MISSING_IN_SANITY,Costa Rica is a surfer’s dream,https://www.rapturecamps.com/9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica/,/9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,MISSING_IN_SANITY,surfing holiday in Costa Rica,https://www.rapturecamps.com/blog/top-5-surf-spots-in-playa-avellanas-costa-rica/,/blog/top-5-surf-spots-in-playa-avellanas-costa-rica,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,MISSING_IN_SANITY,having a primo coffee region though,https://www.rapturecamps.com/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now/,/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,MISSING_IN_SANITY,froth out like a grommet,https://www.rapturecamps.com/surf-camp-and-surf-lessons-in-costa-rica-everything-you-need-to-know/,/surf-camp-and-surf-lessons-in-costa-rica-everything-you-need-to-know,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,MISSING_IN_SANITY,for surfers of all skill levels,https://www.rapturecamps.com/how-to-improve-your-surfing-in-6-easy-steps/,/how-to-improve-your-surfing-in-6-easy-steps,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,MISSING_IN_SANITY,in addition to unbelievable waves,https://www.rapturecamps.com/5-of-the-best-beginner-surf-beaches-in-costa-rica/,/5-of-the-best-beginner-surf-beaches-in-costa-rica,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,MISSING_IN_SANITY,surf vacation to Costa Rica,https://www.rapturecamps.com/planning-a-surf-trip-to-the-tropics-here-are-10-essentials-you-shouldnt-leave-home-without/,/planning-a-surf-trip-to-the-tropics-here-are-10-essentials-you-shouldnt-leave-home-without,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,EXTRA_IN_SANITY,Costa Rica is a surfer’s dream,/blog/9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,/blog/9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,EXTRA_IN_SANITY,surfing holiday in Costa Rica,/blog/top-surf-spots-around-playa-avellanas-costa-rica,/blog/top-surf-spots-around-playa-avellanas-costa-rica,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,EXTRA_IN_SANITY,having a primo coffee region though,/blog/9-reasons-to-learn-to-surf-in-costa-rica,/blog/9-reasons-to-learn-to-surf-in-costa-rica,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,EXTRA_IN_SANITY,froth out like a grommet,/blog/surf-camp-and-surf-lessons-in-costa-rica-everything-you-need-to-know,/blog/surf-camp-and-surf-lessons-in-costa-rica-everything-you-need-to-know,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,EXTRA_IN_SANITY,for surfers of all skill levels,/blog/how-to-improve-your-surfing-in-6-easy-steps,/blog/how-to-improve-your-surfing-in-6-easy-steps,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,EXTRA_IN_SANITY,in addition to unbelievable waves,/blog/5-of-the-best-beginner-surf-beaches-in-costa-rica,/blog/5-of-the-best-beginner-surf-beaches-in-costa-rica,internal
10-fun-things-to-do-in-costa-rica,10 Unique and Incredibly Fun Things To Do In Costa Rica,EXTRA_IN_SANITY,surf vacation to Costa Rica,/blog/planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget,/blog/planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget,internal
