Priority,Type,Used On (# pages),Asset ID,Dimensions,Action,Image URL
High,Content Image (Sanity),14,543ad436500cc9c53ff5b421064d753303c82021-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/543ad436500cc9c53ff5b421064d753303c82021-1080x720.jpg?w=1200&auto=format
High,Content Image (Sanity),12,a7b2777f9daca28e56bf88c98ea4de2ed7ee12d7-1920x1280.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/a7b2777f9daca28e56bf88c98ea4de2ed7ee12d7-1920x1280.webp?w=1920&h=1280&fit=crop&auto=format
High,Content Image (Sanity),12,461d635bbed1b57c7621e8acc7568dc9e4aecc6a-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/461d635bbed1b57c7621e8acc7568dc9e4aecc6a-1920x1280.jpg?w=1920&h=1280&fit=crop&auto=format
High,Content Image (Sanity),8,62567882151404d7a94101349ac26267ce801879-1920x1280.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/62567882151404d7a94101349ac26267ce801879-1920x1280.webp?w=1920&h=1280&fit=crop&auto=format
High,Content Image (Sanity),8,8963157d048cc0b4b45f7b6a374359a592886b00-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/8963157d048cc0b4b45f7b6a374359a592886b00-1080x720.jpg?w=1200&auto=format
High,Content Image (Sanity),7,4218ceaf0716f6025d079491b1abee590b649264-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/4218ceaf0716f6025d079491b1abee590b649264-1080x720.jpg?w=1200&auto=format
Medium,Content Image (Sanity),5,575100976a31f7695f70fbd752e2cc2edc8d7a00-1080x717.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/575100976a31f7695f70fbd752e2cc2edc8d7a00-1080x717.jpg?w=1200&auto=format
Medium,Content Image (Sanity),5,dd432baf4f3787fddbcb11ff164ba14bd8709bf7-1024x678.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/dd432baf4f3787fddbcb11ff164ba14bd8709bf7-1024x678.jpg?w=1200&auto=format
Medium,Content Image (Sanity),5,e41f823e29da4dd0e72640dda1a89b5038453373-800x534.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/e41f823e29da4dd0e72640dda1a89b5038453373-800x534.jpg?w=1200&auto=format
Medium,Content Image (Sanity),4,19025d7dfb33736de4ced73577499f78804ab24e-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/19025d7dfb33736de4ced73577499f78804ab24e-1920x1280.jpg?w=1920&h=1280&fit=crop&auto=format
Medium,Content Image (Sanity),4,65cb0a8aff4273d6b3ed88e3bc73d717bd37b09d-1920x1280.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/65cb0a8aff4273d6b3ed88e3bc73d717bd37b09d-1920x1280.webp?w=1920&h=1280&fit=crop&auto=format
Medium,Content Image (Sanity),4,e448132d8ab7987bef19000b1801d33b2ab76312-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/e448132d8ab7987bef19000b1801d33b2ab76312-1920x1080.jpg?w=1920&h=1080&fit=crop&auto=format
Medium,Content Image (Sanity),4,c60437420d5607913518182dc07a73ec314a4f08-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/c60437420d5607913518182dc07a73ec314a4f08-1080x720.jpg?w=1080&h=720&fit=crop&auto=format
Medium,Content Image (Sanity),4,6de3a7151ea79bee57757655af90c06eca587cc7-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/6de3a7151ea79bee57757655af90c06eca587cc7-1920x1280.jpg?w=1920&h=1280&fit=crop&auto=format
Medium,Content Image (Sanity),4,d2c0cdefa1cf1cab8feb679fe9397e59467d3e77-1920x1280.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d2c0cdefa1cf1cab8feb679fe9397e59467d3e77-1920x1280.webp?w=1920&h=1280&fit=crop&auto=format
Medium,Content Image (Sanity),4,4847be54c604bf64b5cb51e47f3e5de78266deef-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/4847be54c604bf64b5cb51e47f3e5de78266deef-1920x1280.jpg?w=1920&h=1280&fit=crop&auto=format
Medium,Content Image (Sanity),4,d4ea90cd4a1935d76110c36141c843f4beafa135-1024x768.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d4ea90cd4a1935d76110c36141c843f4beafa135-1024x768.jpg?w=1200&auto=format
Medium,Content Image (Sanity),4,814e36e4ff53f7871108068d811dde07c0b31dea-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/814e36e4ff53f7871108068d811dde07c0b31dea-1920x1080.jpg?w=1920&h=1080&fit=crop&auto=format
Medium,Content Image (Sanity),4,7840197f3e8d3fc23035627ba320d5c6190edb02-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/7840197f3e8d3fc23035627ba320d5c6190edb02-1920x1280.jpg?w=1920&h=1280&fit=crop&auto=format
Medium,Content Image (Sanity),4,f2e517fbb113fc9378fb2f9c6c9fb32bc2b82fb0-1920x1280.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/f2e517fbb113fc9378fb2f9c6c9fb32bc2b82fb0-1920x1280.webp?w=1920&h=1280&fit=crop&auto=format
Medium,Content Image (Sanity),4,02ce1ce9bcfd22d091ba20b9158043c35c1eeccc-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/02ce1ce9bcfd22d091ba20b9158043c35c1eeccc-1080x720.jpg?w=1080&h=720&fit=crop&auto=format
Medium,Content Image (Sanity),3,0a9f827846564ba0a2fbcb2afa6a60bb8d79ca8b-1024x768.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/0a9f827846564ba0a2fbcb2afa6a60bb8d79ca8b-1024x768.webp?w=1200&auto=format
Medium,Content Image (Sanity),3,b0b9b8d4858ff941d26cfa4c4da06ec385131dd1-800x533.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/b0b9b8d4858ff941d26cfa4c4da06ec385131dd1-800x533.jpg?w=1200&auto=format
Medium,Content Image (Sanity),3,a3511e78f9b1a8d11c2021cd7b2a6b4a5baac13a-800x530.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/a3511e78f9b1a8d11c2021cd7b2a6b4a5baac13a-800x530.jpg?w=1200&auto=format
