slug,title,action,anchor_text,href,remapped_href,link_type
la-paz-waterfall-gardens,La Paz Waterfall Gardens: Costa Rica’s Most Beautiful Rainforest,SKIPPED_NOT_FOUND,Scott Zona,https://www.flickr.com/photos/scottzona/,https://www.flickr.com/photos/scottzona/,external
medewi-surf-guide,Medewi Surf Guide: Bali’s Longest Left-Hand Wave,SKIPPED_NOT_FOUND,Global Zoo,https://www.youtube.com/@global_zoo,https://www.youtube.com/@global_zoo,external
bali-nyepi-the-islands-day-of-silence,Bali Nyepi: The Island’s Day Of Silence,SKIPPED_NOT_FOUND,philyusenda,https://www.flickr.com/photos/yusenda1/,https://www.flickr.com/photos/yusenda1/,external
what-is-surfers-eye,"What Is Surfer’s Eye: Causes, Symptoms, And Prevention",SKIPPED_NOT_FOUND,Community Eye Health,https://www.flickr.com/photos/communityeyehealth/,https://www.flickr.com/photos/communityeyehealth/,external
the-algarve-a-complete-guide-for-surfers,Why The Algarve Is A Surfer’s Paradise: A Complete Guide,SKIPPED_NOT_FOUND,Nic Von Rupp,https://www.youtube.com/@nicvonrupp1671,https://www.youtube.com/@nicvonrupp1671,external
donegal-bay-mullaghmore-ireland,Donegal Bay’s Mullaghmore: Ireland’s Answer To Big Wave Surfing,SKIPPED_NOT_FOUND,Red Bull Surfing,https://www.youtube.com/@RedBullSurfing,https://www.youtube.com/@RedBullSurfing,external
donegal-bay-mullaghmore-ireland,Donegal Bay’s Mullaghmore: Ireland’s Answer To Big Wave Surfing,SKIPPED_NOT_FOUND,Giuseppe Milo,https://www.flickr.com/photos/giuseppemilo/,https://www.flickr.com/photos/giuseppemilo/,external
bingin-beach,"Bingin Beach, Bali: A Surfer’s Dream Playground",SKIPPED_NOT_FOUND,Surf Video Bali,https://www.youtube.com/@SurfVideoBali,https://www.youtube.com/@SurfVideoBali,external
surfing-at-night,"Surfing At Night: Tips, Gear, And Safety",SKIPPED_NOT_FOUND,GoPro,https://www.youtube.com/@GoPro,https://www.youtube.com/@GoPro,external
what-is-an-electric-surfboard,What Is an Electric Surfboard?,SKIPPED_NOT_FOUND,Wonder World,https://www.youtube.com/@WonderWorldYTC,https://www.youtube.com/@WonderWorldYTC,external
surfing-with-an-apple-watch,Surfing with an Apple Watch,ADDED,Workout,https://apps.apple.com/us/app/workout/id1584215851,https://apps.apple.com/us/app/workout/id1584215851,external
surfing-with-an-apple-watch,Surfing with an Apple Watch,SKIPPED_NOT_FOUND,Fitness,https://apps.apple.com/us/app/fitness/id1208224953,https://apps.apple.com/us/app/fitness/id1208224953,external
what-is-duck-diving,Duck Diving: Techniques For Surfers,SKIPPED_NOT_FOUND,Kale Brock,https://www.youtube.com/@KalesBroccoli,https://www.youtube.com/@KalesBroccoli,external
nicaragua-vs-costa-rica,Nicaragua vs Costa Rica: Which Surf Destination Is Right For You?,SKIPPED_NOT_FOUND,scottieP,https://www.youtube.com/@Scottiepaz,https://www.youtube.com/@Scottiepaz,external
the-13-best-beaches-in-bali,The 13 Best Beaches in Bali,SKIPPED_NOT_FOUND,Heidi,https://www.flickr.com/photos/hk0330/,https://www.flickr.com/photos/hk0330/,external
the-13-best-beaches-in-bali,The 13 Best Beaches in Bali,SKIPPED_NOT_FOUND,Sergii Gulenok,https://www.flickr.com/photos/ashenwolf/,https://www.flickr.com/photos/ashenwolf/,external
