page_path,anchor_text,href,normalized_href,link_location
/surfcamp,Visit,https://www.rapturecamps.com/surfcamp/morocco/,/surfcamp/morocco,button/CTA
/surfcamp,Visit,https://www.rapturecamps.com/surfcamp/costa-rica/,/surfcamp/costa-rica,button/CTA
/surfcamp,Visit,https://www.rapturecamps.com/surfcamp/nicaragua/,/surfcamp/nicaragua,button/CTA
/surfcamp,Visit,https://www.rapturecamps.com/surfcamp/portugal/,/surfcamp/portugal,button/CTA
/surfcamp,Visit,https://www.rapturecamps.com/surfcamp/bali/,/surfcamp/bali,button/CTA
/surfcamp,Email,https://www.rapturecamps.com/contact/,/contact,navigation
/surfcamp/portugal,Surfcamps,https://www.rapturecamps.com/surfcamp/,/surfcamp,body
/surfcamp/portugal,"<img width=""1080"" height=""608"" src=""https://www.rapturecamps.com/wp-content/uploads/2019/12/Rapturecamps-Ericeira-Surfcamp-aerial-view.jpg"" class=""attachment-full size-full"" alt=""Ericeira Surfcamp drone view"" decoding=""async"" srcset=""https://www.rapturecamps.com/wp-content/uploads/2019/12/Rapturecamps-Ericeira-Surfcamp-aerial-view.jpg 1080w, https://www.rapturecamps.com/wp-content/uploads/2019/12/Rapturecamps-Ericeira-Surfcamp-aerial-view-300x169.jpg 300w, https://www.rapturecamps.com/wp-content/uploads/2019/12/Rapturecamps-Ericeira-Surfcamp-aerial-view-1024x576.jpg 1024w, https://www.rapturecamps.com/wp-content/uploads/2019/12/Rapturecamps-Ericeira-Surfcamp-aerial-view-768x432.jpg 768w"" sizes=""(max-width: 1080px) 100vw, 1080px"" /> Ericeira Take me to Ericeira",https://www.rapturecamps.com/surfcamp/portugal/ericeira-lizandro/,/surfcamp/portugal/ericeira-lizandro,body
/surfcamp/portugal,"<img width=""1920"" height=""1079"" src=""https://www.rapturecamps.com/wp-content/uploads/2023/06/Rapturecamps-2023-06-24.jpg"" class=""attachment-full size-full"" alt=""Rapture Surfcamp Ericeira Surf Villa Coxos"" decoding=""async"" srcset=""https://www.rapturecamps.com/wp-content/uploads/2023/06/Rapturecamps-2023-06-24.jpg 1920w, https://www.rapturecamps.com/wp-content/uploads/2023/06/Rapturecamps-2023-06-24-300x169.jpg 300w, https://www.rapturecamps.com/wp-content/uploads/2023/06/Rapturecamps-2023-06-24-1024x575.jpg 1024w, https://www.rapturecamps.com/wp-content/uploads/2023/06/Rapturecamps-2023-06-24-768x432.jpg 768w, https://www.rapturecamps.com/wp-content/uploads/2023/06/Rapturecamps-2023-06-24-1536x863.jpg 1536w"" sizes=""(max-width: 1920px) 100vw, 1920px"" /> Ericeira – Coxos Surf Villa Take me to Ericeira - Coxos Surf Villa",https://www.rapturecamps.com/surfcamp/portugal/ericeira-coxos-surf-villa/,/surfcamp/portugal/ericeira-coxos-surf-villa,body
/surfcamp/portugal,"<img width=""1080"" height=""675"" src=""https://www.rapturecamps.com/wp-content/uploads/2021/04/Rapturecamps-Portugal-Milfontes-dorm-rooms.jpg"" class=""attachment-full size-full"" alt=""Two rustic bungalows surrounded by vegetation"" decoding=""async"" srcset=""https://www.rapturecamps.com/wp-content/uploads/2021/04/Rapturecamps-Portugal-Milfontes-dorm-rooms.jpg 1080w, https://www.rapturecamps.com/wp-content/uploads/2021/04/Rapturecamps-Portugal-Milfontes-dorm-rooms-300x188.jpg 300w, https://www.rapturecamps.com/wp-content/uploads/2021/04/Rapturecamps-Portugal-Milfontes-dorm-rooms-1024x640.jpg 1024w, https://www.rapturecamps.com/wp-content/uploads/2021/04/Rapturecamps-Portugal-Milfontes-dorm-rooms-768x480.jpg 768w"" sizes=""(max-width: 1080px) 100vw, 1080px"" /> Milfontes Take me to Milfontes",https://www.rapturecamps.com/surfcamp/portugal/alentejo-milfontes/,/surfcamp/portugal/alentejo-milfontes,body
/surfcamp/portugal,Email,https://www.rapturecamps.com/contact/,/contact,navigation
/surfcamp/bali,Surfcamps,https://www.rapturecamps.com/surfcamp/,/surfcamp,body
/surfcamp/bali,Padang Padang,https://www.rapturecamps.com/surfcamp/bali/padang-padang/,/surfcamp/bali/padang-padang,body
/surfcamp/bali,Uluwatu,https://www.rapturecamps.com/blog/surfing-uluwatu/,/blog/surfing-uluwatu,body
/surfcamp/bali,"<img width=""1920"" height=""932"" src=""https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-GreenBowl.jpg"" class=""attachment-full size-full"" alt="""" decoding=""async"" srcset=""https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-GreenBowl.jpg 1920w, https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-GreenBowl-300x146.jpg 300w, https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-GreenBowl-768x373.jpg 768w, https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-GreenBowl-1024x497.jpg 1024w"" sizes=""(max-width: 1920px) 100vw, 1920px"" /> Green Bowl Take me to Green Bowl",https://www.rapturecamps.com/surfcamp/bali/green-bowl/,/surfcamp/bali/green-bowl,body
/surfcamp/bali,"<img width=""1920"" height=""932"" src=""https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-PadangPadang.jpg"" class=""attachment-full size-full"" alt="""" decoding=""async"" srcset=""https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-PadangPadang.jpg 1920w, https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-PadangPadang-300x146.jpg 300w, https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-PadangPadang-768x373.jpg 768w, https://www.rapturecamps.com/wp-content/uploads/2019/01/Location-Selection-Bali-PadangPadang-1024x497.jpg 1024w"" sizes=""(max-width: 1920px) 100vw, 1920px"" /> Padang Padang Take me to Padang",https://www.rapturecamps.com/surfcamp/bali/padang-padang/,/surfcamp/bali/padang-padang,body
/surfcamp/bali,Padang Padang,https://www.rapturecamps.com/blog/surfing-padang-padang/,/blog/surfing-padang-padang,body
/surfcamp/bali,surfing lessons,https://www.rapturecamps.com/blog/surf-lessons-bali/,/blog/surf-lessons-bali,body
/surfcamp/bali,daily yoga,https://www.rapturecamps.com/blog/yoga-surfcamp-bali/,/blog/yoga-surfcamp-bali,body
/surfcamp/bali,Bali surf school,https://www.rapturecamps.com/blog/surf-school-bali/,/blog/surf-school-bali,body
